AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P613HN,P613H,P613H1,P613H2,P613H3,P613H4,P613H5,TICUEST01,D613H4,I613H4,FACTOR07,NCONGLOME,SUB_CONGLOME
2023,11,018017,019,11,150103,8,1,2,1,1,1,1,5, ,2,1278.97009277344,1278.97009277344,1753.64013671875,23466,00
2023,11,018017,019,11,150103,8,1,3,2, , , , , ,2, , ,1753.64013671875,23466,00
2023,11,018022,006,11,150132,8,1,1,1,1,4,1,1, ,2,256.306518554688,256.306518554688,1057.32897949219,49696,00
2023,11,018022,006,11,150132,8,1,2,1,1,5,1,15, ,2,3844.59765625,3844.59765625,1057.32897949219,49696,00
2023,11,018022,006,11,150132,8,1,3,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018022,035,11,150132,8,1,1,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018022,035,11,150132,8,1,2,1,1,2,1,6, ,2,1537.83898925781,1537.83898925781,1057.32897949219,49696,00
2023,11,018022,035,11,150132,8,1,3,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018022,054,11,150132,8,1,1,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018022,054,11,150132,8,1,2,1,5,2,1,8, ,2,1230.27124023438,1230.27124023438,1057.32897949219,49696,00
2023,11,018022,054,11,150132,8,1,3,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018022,063,11,150132,8,1,1,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018022,063,11,150132,8,1,2,1,1,2,1,6, ,2,1537.83898925781,1537.83898925781,1057.32897949219,49696,00
2023,11,018022,063,11,150132,8,1,3,2, , , , , ,2, , ,1057.32897949219,49696,00
2023,11,018168,023,11,150143,8,1,1,2, , , , , ,2, , ,1057.32897949219,49976,00
2023,11,018168,023,11,150143,8,1,2,1,1,6,1,5, ,2,1281.53247070313,1281.53247070313,1057.32897949219,49976,00
2023,11,018168,023,11,150143,8,1,3,2, , , , , ,2, , ,1057.32897949219,49976,00
2023,12,016232,065,11,070106,8,1,1,1,1,4,1,1.5, ,2,386.857757568359,386.857757568359,272.905853271484,17643,00
2023,12,016232,065,11,070106,8,1,2,1,1,3,1,9, ,2,2321.146484375,2321.146484375,272.905853271484,17643,00
2023,12,016232,065,11,070106,8,1,3,2, , , , , ,2, , ,272.905853271484,17643,00
2023,12,017509,036,11,130104,1,3,1,2, , , , , ,2, , ,413.873291015625,11188,00
2023,12,017509,036,11,130104,1,3,2,1,3,3,1,3, ,2,153.058441162109,153.058441162109,413.873291015625,11188,00
2023,12,017509,036,11,130104,1,3,3,2, , , , , ,2, , ,413.873291015625,11188,00
